unique_id,ds,actuals,forecasts
FOODS_1_108_CA_3,2015-01-01,0.0,
FOODS_1_108_CA_3,2015-01-02,7.0,
FOODS_1_108_CA_3,2015-01-03,3.0,
FOODS_1_108_CA_3,2015-01-04,4.0,
FOODS_1_108_CA_3,2015-01-05,3.0,
FOODS_1_108_CA_3,2015-01-06,1.0,
FOODS_1_108_CA_3,2015-01-07,1.0,
FOODS_1_108_CA_3,2015-01-08,0.0,
FOODS_1_108_CA_3,2015-01-09,0.0,
FOODS_1_108_CA_3,2015-01-10,1.0,
FOODS_1_108_CA_3,2015-01-11,1.0,
FOODS_1_108_CA_3,2015-01-12,0.0,
FOODS_1_108_CA_3,2015-01-13,0.0,
FOODS_1_108_CA_3,2015-01-14,1.0,
FOODS_1_108_CA_3,2015-01-15,0.0,
FOODS_1_108_CA_3,2015-01-16,0.0,
FOODS_1_108_CA_3,2015-01-17,1.0,
FOODS_1_108_CA_3,2015-01-18,0.0,
FOODS_1_108_CA_3,2015-01-19,1.0,
FOODS_1_108_CA_3,2015-01-20,4.0,
FOODS_1_108_CA_3,2015-01-21,2.0,
FOODS_1_108_CA_3,2015-01-22,0.0,
FOODS_1_108_CA_3,2015-01-23,6.0,
FOODS_1_108_CA_3,2015-01-24,0.0,
FOODS_1_108_CA_3,2015-01-25,2.0,
FOODS_1_108_CA_3,2015-01-26,0.0,
FOODS_1_108_CA_3,2015-01-27,3.0,
FOODS_1_108_CA_3,2015-01-28,2.0,
FOODS_1_108_CA_3,2015-01-29,0.0,
FOODS_1_108_CA_3,2015-01-30,2.0,
FOODS_1_108_CA_3,2015-01-31,6.0,
FOODS_1_108_CA_3,2015-02-01,4.0,
FOODS_1_108_CA_3,2015-02-02,1.0,
FOODS_1_108_CA_3,2015-02-03,1.0,
FOODS_1_108_CA_3,2015-02-04,0.0,
FOODS_1_108_CA_3,2015-02-05,3.0,
FOODS_1_108_CA_3,2015-02-06,0.0,
FOODS_1_108_CA_3,2015-02-07,6.0,
FOODS_1_108_CA_3,2015-02-08,5.0,
FOODS_1_108_CA_3,2015-02-09,10.0,
FOODS_1_108_CA_3,2015-02-10,9.0,
FOODS_1_108_CA_3,2015-02-11,8.0,
FOODS_1_108_CA_3,2015-02-12,8.0,
FOODS_1_108_CA_3,2015-02-13,3.0,
FOODS_1_108_CA_3,2015-02-14,0.0,
FOODS_1_108_CA_3,2015-02-15,0.0,
FOODS_1_108_CA_3,2015-02-16,0.0,
FOODS_1_108_CA_3,2015-02-17,0.0,
FOODS_1_108_CA_3,2015-02-18,0.0,
FOODS_1_108_CA_3,2015-02-19,0.0,
FOODS_1_108_CA_3,2015-02-20,0.0,
FOODS_1_108_CA_3,2015-02-21,0.0,
FOODS_1_108_CA_3,2015-02-22,0.0,
FOODS_1_108_CA_3,2015-02-23,12.0,
FOODS_1_108_CA_3,2015-02-24,0.0,
FOODS_1_108_CA_3,2015-02-25,0.0,
FOODS_1_108_CA_3,2015-02-26,1.0,
FOODS_1_108_CA_3,2015-02-27,2.0,
FOODS_1_108_CA_3,2015-02-28,2.0,
FOODS_1_108_CA_3,2015-03-01,3.0,
FOODS_1_108_CA_3,2015-03-02,0.0,
FOODS_1_108_CA_3,2015-03-03,3.0,
FOODS_1_108_CA_3,2015-03-04,2.0,
FOODS_1_108_CA_3,2015-03-05,1.0,
FOODS_1_108_CA_3,2015-03-06,1.0,
FOODS_1_108_CA_3,2015-03-07,1.0,
FOODS_1_108_CA_3,2015-03-08,3.0,
FOODS_1_108_CA_3,2015-03-09,0.0,
FOODS_1_108_CA_3,2015-03-10,2.0,
FOODS_1_108_CA_3,2015-03-11,4.0,
FOODS_1_108_CA_3,2015-03-12,4.0,
FOODS_1_108_CA_3,2015-03-13,5.0,
FOODS_1_108_CA_3,2015-03-14,4.0,
FOODS_1_108_CA_3,2015-03-15,1.0,
FOODS_1_108_CA_3,2015-03-16,1.0,
FOODS_1_108_CA_3,2015-03-17,4.0,
FOODS_1_108_CA_3,2015-03-18,2.0,
FOODS_1_108_CA_3,2015-03-19,7.0,
FOODS_1_108_CA_3,2015-03-20,2.0,
FOODS_1_108_CA_3,2015-03-21,5.0,
FOODS_1_108_CA_3,2015-03-22,1.0,
FOODS_1_108_CA_3,2015-03-23,3.0,
FOODS_1_108_CA_3,2015-03-24,1.0,
FOODS_1_108_CA_3,2015-03-25,0.0,
FOODS_1_108_CA_3,2015-03-26,3.0,
FOODS_1_108_CA_3,2015-03-27,6.0,
FOODS_1_108_CA_3,2015-03-28,2.0,
FOODS_1_108_CA_3,2015-03-29,1.0,
FOODS_1_108_CA_3,2015-03-30,2.0,
FOODS_1_108_CA_3,2015-03-31,4.0,
FOODS_1_108_CA_3,2015-04-01,4.0,
FOODS_1_108_CA_3,2015-04-02,4.0,
FOODS_1_108_CA_3,2015-04-03,5.0,
FOODS_1_108_CA_3,2015-04-04,2.0,
FOODS_1_108_CA_3,2015-04-05,6.0,
FOODS_1_108_CA_3,2015-04-06,4.0,
FOODS_1_108_CA_3,2015-04-07,3.0,
FOODS_1_108_CA_3,2015-04-08,2.0,
FOODS_1_108_CA_3,2015-04-09,0.0,
FOODS_1_108_CA_3,2015-04-10,4.0,
FOODS_1_108_CA_3,2015-04-11,5.0,
FOODS_1_108_CA_3,2015-04-12,6.0,
FOODS_1_108_CA_3,2015-04-13,0.0,
FOODS_1_108_CA_3,2015-04-14,6.0,
FOODS_1_108_CA_3,2015-04-15,1.0,
FOODS_1_108_CA_3,2015-04-16,0.0,
FOODS_1_108_CA_3,2015-04-17,4.0,
FOODS_1_108_CA_3,2015-04-18,1.0,
FOODS_1_108_CA_3,2015-04-19,6.0,
FOODS_1_108_CA_3,2015-04-20,5.0,
FOODS_1_108_CA_3,2015-04-21,1.0,
FOODS_1_108_CA_3,2015-04-22,2.0,
FOODS_1_108_CA_3,2015-04-23,5.0,
FOODS_1_108_CA_3,2015-04-24,1.0,
FOODS_1_108_CA_3,2015-04-25,2.0,
FOODS_1_108_CA_3,2015-04-26,9.0,
FOODS_1_108_CA_3,2015-04-27,9.0,
FOODS_1_108_CA_3,2015-04-28,3.0,
FOODS_1_108_CA_3,2015-04-29,3.0,
FOODS_1_108_CA_3,2015-04-30,4.0,
FOODS_1_108_CA_3,2015-05-01,3.0,
FOODS_1_108_CA_3,2015-05-02,2.0,
FOODS_1_108_CA_3,2015-05-03,2.0,
FOODS_1_108_CA_3,2015-05-04,1.0,
FOODS_1_108_CA_3,2015-05-05,5.0,
FOODS_1_108_CA_3,2015-05-06,3.0,
FOODS_1_108_CA_3,2015-05-07,3.0,
FOODS_1_108_CA_3,2015-05-08,4.0,
FOODS_1_108_CA_3,2015-05-09,1.0,
FOODS_1_108_CA_3,2015-05-10,4.0,
FOODS_1_108_CA_3,2015-05-11,12.0,
FOODS_1_108_CA_3,2015-05-12,5.0,
FOODS_1_108_CA_3,2015-05-13,14.0,
FOODS_1_108_CA_3,2015-05-14,0.0,
FOODS_1_108_CA_3,2015-05-15,4.0,
FOODS_1_108_CA_3,2015-05-16,8.0,
FOODS_1_108_CA_3,2015-05-17,4.0,
FOODS_1_108_CA_3,2015-05-18,3.0,
FOODS_1_108_CA_3,2015-05-19,3.0,
FOODS_1_108_CA_3,2015-05-20,2.0,
FOODS_1_108_CA_3,2015-05-21,2.0,
FOODS_1_108_CA_3,2015-05-22,5.0,
FOODS_1_108_CA_3,2015-05-23,3.0,
FOODS_1_108_CA_3,2015-05-24,8.0,
FOODS_1_108_CA_3,2015-05-25,7.0,
FOODS_1_108_CA_3,2015-05-26,1.0,
FOODS_1_108_CA_3,2015-05-27,0.0,
FOODS_1_108_CA_3,2015-05-28,6.0,
FOODS_1_108_CA_3,2015-05-29,8.0,
FOODS_1_108_CA_3,2015-05-30,5.0,
FOODS_1_108_CA_3,2015-05-31,5.0,
FOODS_1_108_CA_3,2015-06-01,7.0,
FOODS_1_108_CA_3,2015-06-02,3.0,
FOODS_1_108_CA_3,2015-06-03,8.0,
FOODS_1_108_CA_3,2015-06-04,5.0,
FOODS_1_108_CA_3,2015-06-05,4.0,
FOODS_1_108_CA_3,2015-06-06,4.0,
FOODS_1_108_CA_3,2015-06-07,1.0,
FOODS_1_108_CA_3,2015-06-08,1.0,
FOODS_1_108_CA_3,2015-06-09,6.0,
FOODS_1_108_CA_3,2015-06-10,11.0,
FOODS_1_108_CA_3,2015-06-11,6.0,
FOODS_1_108_CA_3,2015-06-12,1.0,
FOODS_1_108_CA_3,2015-06-13,6.0,
FOODS_1_108_CA_3,2015-06-14,4.0,
FOODS_1_108_CA_3,2015-06-15,4.0,
FOODS_1_108_CA_3,2015-06-16,7.0,
FOODS_1_108_CA_3,2015-06-17,0.0,
FOODS_1_108_CA_3,2015-06-18,7.0,
FOODS_1_108_CA_3,2015-06-19,2.0,
FOODS_1_108_CA_3,2015-06-20,1.0,
FOODS_1_108_CA_3,2015-06-21,5.0,
FOODS_1_108_CA_3,2015-06-22,10.0,
FOODS_1_108_CA_3,2015-06-23,9.0,
FOODS_1_108_CA_3,2015-06-24,4.0,
FOODS_1_108_CA_3,2015-06-25,2.0,
FOODS_1_108_CA_3,2015-06-26,4.0,
FOODS_1_108_CA_3,2015-06-27,1.0,
FOODS_1_108_CA_3,2015-06-28,7.0,
FOODS_1_108_CA_3,2015-06-29,4.0,
FOODS_1_108_CA_3,2015-06-30,5.0,
FOODS_1_108_CA_3,2015-07-01,11.0,
FOODS_1_108_CA_3,2015-07-02,3.0,
FOODS_1_108_CA_3,2015-07-03,4.0,
FOODS_1_108_CA_3,2015-07-04,2.0,
FOODS_1_108_CA_3,2015-07-05,7.0,
FOODS_1_108_CA_3,2015-07-06,0.0,
FOODS_1_108_CA_3,2015-07-07,5.0,
FOODS_1_108_CA_3,2015-07-08,6.0,
FOODS_1_108_CA_3,2015-07-09,2.0,
FOODS_1_108_CA_3,2015-07-10,4.0,
FOODS_1_108_CA_3,2015-07-11,6.0,
FOODS_1_108_CA_3,2015-07-12,5.0,
FOODS_1_108_CA_3,2015-07-13,5.0,
FOODS_1_108_CA_3,2015-07-14,2.0,
FOODS_1_108_CA_3,2015-07-15,4.0,
FOODS_1_108_CA_3,2015-07-16,0.0,
FOODS_1_108_CA_3,2015-07-17,7.0,
FOODS_1_108_CA_3,2015-07-18,2.0,
FOODS_1_108_CA_3,2015-07-19,6.0,
FOODS_1_108_CA_3,2015-07-20,3.0,
FOODS_1_108_CA_3,2015-07-21,0.0,
FOODS_1_108_CA_3,2015-07-22,0.0,
FOODS_1_108_CA_3,2015-07-23,2.0,
FOODS_1_108_CA_3,2015-07-24,7.0,
FOODS_1_108_CA_3,2015-07-25,6.0,
FOODS_1_108_CA_3,2015-07-26,2.0,
FOODS_1_108_CA_3,2015-07-27,0.0,
FOODS_1_108_CA_3,2015-07-28,1.0,
FOODS_1_108_CA_3,2015-07-29,4.0,
FOODS_1_108_CA_3,2015-07-30,6.0,
FOODS_1_108_CA_3,2015-07-31,2.0,
FOODS_1_108_CA_3,2015-08-01,5.0,
FOODS_1_108_CA_3,2015-08-02,5.0,
FOODS_1_108_CA_3,2015-08-03,5.0,
FOODS_1_108_CA_3,2015-08-04,4.0,
FOODS_1_108_CA_3,2015-08-05,4.0,
FOODS_1_108_CA_3,2015-08-06,1.0,
FOODS_1_108_CA_3,2015-08-07,3.0,
FOODS_1_108_CA_3,2015-08-08,5.0,
FOODS_1_108_CA_3,2015-08-09,1.0,
FOODS_1_108_CA_3,2015-08-10,3.0,
FOODS_1_108_CA_3,2015-08-11,3.0,
FOODS_1_108_CA_3,2015-08-12,3.0,
FOODS_1_108_CA_3,2015-08-13,1.0,
FOODS_1_108_CA_3,2015-08-14,6.0,
